g1,vcmax,tleaf,twood,troot,aleaf,awood,aroot
4.796643376204476,0.0005672057526079845,3.399411678314209,0.0,7.510410785675049,0.6775,0.0,0.3225
1.471410246315485,0.0002424972093217434,4.814404487609863,0.0,6.3093767166137695,0.6775,0.0,0.3225
1.879865764164588,0.0001674899951240166,5.814067363739014,0.0,2.907470703125,0.295,0.0,0.705
1.1172813681927947,0.00020200612271456666,4.334740161895752,0.0,6.079307556152344,0.37,0.0,0.63
0.043693256344387886,0.000782939745735752,2.508453130722046,23.72181510925293,5.20796012878418,0.445,0.2575,0.2975
6.461574775137866,0.001052538844332147,3.3452694416046143,0.5799813866615295,4.871363639831543,0.575,0.1875,0.2375
2.54552942523484,0.0007992767726959482,4.36116361618042,39.90998840332031,4.9092535972595215,0.475,0.3075,0.2175
0.5263995706922295,0.0008346259976942511,3.1495020389556885,17.878957748413086,4.60009765625,0.335,0.18,0.485
3.4834729261122592,0.000796363818567986,3.230499744415283,49.601016998291016,5.5492472648620605,0.335,0.3525,0.3125
5.881233523417475,0.0007428744363770743,2.105109691619873,8.804965019226074,3.7312405109405518,0.5325,0.195,0.2725
1.3870726310483454,0.00019485009910408648,3.7568204402923584,18.82554817199707,3.681551694869995,0.51,0.2,0.29
0.10186133167975167,9.302400452139118e-05,3.9940648078918457,61.573307037353516,3.1532208919525146,0.4075,0.1625,0.43
10.09373877728499,0.0005470707248766974,4.541742324829102,24.499961853027344,4.127902984619141,0.3825,0.26,0.3575
0.7584387164760363,0.00032062408084048154,3.719216823577881,33.75279235839844,6.4884934425354,0.41,0.165,0.425
11.410285858386638,0.0006482587009459528,2.280867576599121,17.34680938720703,4.824830532073975,0.48,0.1925,0.3275
7.448921970799538,0.0007766788341922369,5.990509986877441,43.939483642578125,4.044564247131348,0.3875,0.165,0.4475
8.626446616824701,0.000979137142872363,4.313160419464111,33.97593688964844,5.8262457847595215,0.3825,0.4325,0.185
4.671965693124269,0.001358897178757301,4.416579246520996,34.01879119873047,5.3152055740356445,0.3,0.1925,0.5075
2.4321635880003796,0.00017391181509176037,6.915063381195068,18.261804580688477,2.65177059173584,0.4075,0.1625,0.43
10.16236285170371,0.0002656682909366398,4.174319744110107,23.42353630065918,5.822450160980225,0.435,0.3175,0.2475
12.074004615689141,5.3272521163406756e-05,5.847906589508057,47.85731887817383,3.466256856918335,0.31,0.15,0.54
4.781308958104019,0.0010942159002409644,4.545382499694824,25.69942855834961,4.742998123168945,0.5175,0.25,0.2325
3.858429184599542,6.23672245163488e-05,4.84827184677124,9.851384162902832,4.503426551818848,0.5175,0.1625,0.32
9.691709078104983,0.0005199928988327493,6.048305988311768,10.86154842376709,4.840383529663086,0.1975,0.3,0.5025
5.800289909331356,8.500986844915647e-05,5.112141132354736,33.841800689697266,2.7770471572875977,0.3175,0.17,0.5125
2.98403418168266,0.00026995587023773355,5.250131607055664,28.33147621154785,5.778975486755371,0.3975,0.24,0.3625
12.482222509122906,0.0006100963501996243,3.143040657043457,40.22809982299805,2.9959394931793213,0.385,0.2125,0.4025
9.792676995635915,0.0001860233634699045,4.052408218383789,31.340959548950195,5.2928009033203125,0.3475,0.445,0.2075
7.087032813845929,0.0003019841517504641,4.390542984008789,20.78740119934082,3.0380234718322754,0.28,0.1975,0.5225
6.417379544101212,0.0010915389782410261,4.8368048667907715,36.644683837890625,5.424229621887207,0.2125,0.3875,0.4
1.365244691863869,0.000741338516827665,4.652842998504639,16.139080047607422,4.469462871551514,0.255,0.3825,0.3625
7.220589445957333,5.2235353552096376e-05,2.927967071533203,23.295543670654297,6.952235698699951,0.5525,0.1575,0.29
8.928761057751688,0.00013790822379817892,4.450601577758789,48.82759094238281,3.9899704456329346,0.3325,0.1725,0.495
8.109526343415885,0.00041062340681944433,3.7830965518951416,41.14268112182617,5.758732795715332,0.38,0.4125,0.2075
12.589574231319096,0.0003202460645179849,5.187679767608643,21.886825561523438,4.785633087158203,0.35,0.2425,0.4075
0.7046204130168958,0.0003057467287843913,3.512334108352661,27.40961265563965,4.713137149810791,0.4525,0.255,0.2925
2.408853649074909,0.0002383641315113448,3.738798141479492,2.6940083503723145,5.439088821411133,0.38,0.175,0.445
9.237527937840772,0.0006293663761857179,5.279605865478516,21.505807876586914,3.2895383834838867,0.23,0.22,0.55
6.571247164343377,0.0008439635347197426,4.358968734741211,49.12309646606445,4.587804317474365,0.525,0.1975,0.2775
0.6605332915989105,6.43155636655909e-05,3.360384941101074,8.926139831542969,2.6627888679504395,0.305,0.3,0.395
6.42621426991036,0.0002428678548800548,3.2542564868927,5.164700031280518,3.3646583557128906,0.43,0.1975,0.3725
13.20206647290836,0.0002616690184528626,5.439408302307129,9.82092571258545,4.1469645500183105,0.585,0.15,0.265
5.7526370694170055,0.0004025302511340099,5.64373779296875,42.85264205932617,3.6540164947509766,0.33,0.2925,0.3775
3.610320323650377,0.0007225188754824973,3.1844067573547363,53.607582092285156,5.795304775238037,0.505,0.25,0.245
7.158755545945495,0.0010730294221344818,5.539718151092529,24.08467674255371,4.8667683601379395,0.315,0.205,0.48
1.686045656509076,0.00032327097950146774,3.6307830810546875,3.1632208824157715,3.205071449279785,0.38,0.23,0.39
1.9866793511172895,0.0011729814299817625,3.8050918579101562,49.2865104675293,5.594636917114258,0.275,0.52,0.205
4.702501616924854,0.0009301462367016149,5.974252223968506,10.71939468383789,2.1551620960235596,0.28,0.2525,0.4675
9.44400613534138,0.0004536073654762386,3.7487401962280273,45.24716567993164,3.5804810523986816,0.4325,0.28,0.2875
3.1230991233198746,0.0004319566019220118,5.818272113800049,41.60190200805664,4.2699432373046875,0.3625,0.285,0.3525
